task,state,attack,epsilon,epsilon_label,sigma,auc,tpr_at_1pct,auc_sparse,tpr_at_1pct_sparse,n_records,single_feature,n_features_joint
ACSIncome,CT,joint,1.0,1.0,4.844805262605389,0.594519375,0.01975,0.5985267266256615,0.009508716323296355,4000,AGEP,10
ACSIncome,CT,single,2.0,2.0,2.4224026313026945,0.6232209375000001,0.03,0.6689342403628118,0.09523809523809523,4000,AGEP,10
ACSIncome,CT,joint,2.0,2.0,2.4224026313026945,0.6805085625,0.0275,0.6858818979832727,0.03656597774244833,4000,AGEP,10
ACSIncome,CT,single,5.0,5.0,0.9689610525210778,0.7656548125,0.0915,0.84,0.5,4000,AGEP,10
ACSIncome,CT,joint,5.0,5.0,0.9689610525210778,0.8905464375000001,0.23225,0.9049981049477397,0.22488038277511962,4000,AGEP,10
ACSIncome,CT,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,CT,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,DE,single,0.1,0.1,48.44805262605389,0.5063059375000001,0.01525,0.5661157024793388,0.0,4000,AGEP,10
ACSIncome,DE,joint,0.1,0.1,48.44805262605389,0.5070706875,0.01275,0.5054246165357277,0.013468013468013467,4000,AGEP,10
ACSIncome,DE,single,0.5,0.5,9.689610525210778,0.542392875,0.01425,0.5501730103806228,0.058823529411764705,4000,AGEP,10
ACSIncome,DE,joint,0.5,0.5,9.689610525210778,0.5574138125,0.015,0.5555243795984537,0.013468013468013467,4000,AGEP,10
ACSIncome,DE,single,1.0,1.0,4.844805262605389,0.54733275,0.01475,0.7160493827160495,0.2222222222222222,4000,AGEP,10
ACSIncome,DE,joint,1.0,1.0,4.844805262605389,0.609075875,0.0245,0.6374021065472883,0.054455445544554455,4000,AGEP,10
ACSIncome,DE,single,2.0,2.0,2.4224026313026945,0.6115304374999999,0.031,0.5847750865051903,0.17647058823529413,4000,AGEP,10
ACSIncome,DE,joint,2.0,2.0,2.4224026313026945,0.7085698125000001,0.041,0.7132525526306974,0.027287319422150885,4000,AGEP,10
ACSIncome,DE,single,5.0,5.0,0.9689610525210778,0.7537013749999999,0.08,0.8304498269896193,0.5294117647058824,4000,AGEP,10
ACSIncome,DE,joint,5.0,5.0,0.9689610525210778,0.9006806875000001,0.264,0.9154846135175553,0.27948303715670436,4000,AGEP,10
ACSIncome,DE,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,DE,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,FL,single,0.1,0.1,48.44805262605389,0.4980568125,0.00975,0.39256198347107435,0.045454545454545456,4000,AGEP,10
ACSIncome,FL,joint,0.1,0.1,48.44805262605389,0.5143775625,0.0115,0.51345335730889,0.006622516556291391,4000,AGEP,10
ACSIncome,FL,single,0.5,0.5,9.689610525210778,0.5253,0.0095,0.3764172335600907,0.047619047619047616,4000,AGEP,10
ACSIncome,FL,joint,0.5,0.5,9.689610525210778,0.5630044375000001,0.01375,0.5691415779037373,0.024875621890547265,4000,AGEP,10
ACSIncome,FL,single,1.0,1.0,4.844805262605389,0.561741375,0.0195,0.43388429752066116,0.0,4000,AGEP,10
ACSIncome,FL,joint,1.0,1.0,4.844805262605389,0.6026870624999999,0.02425,0.6082927890510661,0.02358490566037736,4000,AGEP,10
ACSIncome,FL,single,2.0,2.0,2.4224026313026945,0.6066395625000001,0.02875,0.45674740484429066,0.0,4000,AGEP,10
ACSIncome,FL,joint,2.0,2.0,2.4224026313026945,0.6967101875,0.04025,0.6947128529751118,0.050761421319796954,4000,AGEP,10
ACSIncome,FL,single,5.0,5.0,0.9689610525210778,0.767624875,0.08925,0.810763888888889,0.2916666666666667,4000,AGEP,10
ACSIncome,FL,joint,5.0,5.0,0.9689610525210778,0.8903591875000001,0.2765,0.9201460462260428,0.35596026490066224,4000,AGEP,10
ACSIncome,FL,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,FL,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,GA,single,0.1,0.1,48.44805262605389,0.509027,0.01675,0.4958448753462604,0.0,4000,AGEP,10
ACSIncome,GA,joint,0.1,0.1,48.44805262605389,0.5100574375,0.01625,0.5104771867085428,0.014446227929373997,4000,AGEP,10
ACSIncome,GA,single,0.5,0.5,9.689610525210778,0.526498875,0.01375,0.634297520661157,0.0,4000,AGEP,10
ACSIncome,GA,joint,0.5,0.5,9.689610525210778,0.5371110625,0.014,0.5459526627218935,0.007692307692307693,4000,AGEP,10
ACSIncome,GA,single,1.0,1.0,4.844805262605389,0.5517998125,0.0165,0.49704142011834324,0.07692307692307693,4000,AGEP,10
ACSIncome,GA,joint,1.0,1.0,4.844805262605389,0.5977285625,0.0215,0.5974274158458922,0.0220125786163522,4000,AGEP,10
ACSIncome,GA,single,2.0,2.0,2.4224026313026945,0.61505575,0.02725,0.5217391304347827,0.043478260869565216,4000,AGEP,10
ACSIncome,GA,joint,2.0,2.0,2.4224026313026945,0.67873325,0.026,0.6807045391185979,0.03645007923930269,4000,AGEP,10
ACSIncome,GA,single,5.0,5.0,0.9689610525210778,0.7619441874999999,0.095,0.8264462809917356,0.2727272727272727,4000,AGEP,10
ACSIncome,GA,joint,5.0,5.0,0.9689610525210778,0.870115875,0.1485,0.8930642975646206,0.3736654804270463,4000,AGEP,10
ACSIncome,GA,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,GA,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,HI,single,0.1,0.1,48.44805262605389,0.504916,0.0095,0.4648526077097505,0.047619047619047616,4000,AGEP,10
ACSIncome,HI,joint,0.1,0.1,48.44805262605389,0.5044356249999999,0.01,0.4958833323359933,0.01876172607879925,4000,AGEP,10
ACSIncome,HI,single,0.5,0.5,9.689610525210778,0.526455625,0.0065,0.3214285714285714,0.0,4000,AGEP,10
ACSIncome,HI,joint,0.5,0.5,9.689610525210778,0.557692125,0.01575,0.569251202996059,0.015873015873015872,4000,AGEP,10
ACSIncome,HI,single,1.0,1.0,4.844805262605389,0.5562365625,0.01725,0.5989583333333334,0.08333333333333333,4000,AGEP,10
ACSIncome,HI,joint,1.0,1.0,4.844805262605389,0.5972186875000001,0.02325,0.5989665831553623,0.03035413153456998,4000,AGEP,10
ACSIncome,HI,single,2.0,2.0,2.4224026313026945,0.6134835624999999,0.028,0.7053571428571429,0.0,4000,AGEP,10
ACSIncome,HI,joint,2.0,2.0,2.4224026313026945,0.69330825,0.04,0.7132452642535696,0.0421792618629174,4000,AGEP,10
ACSIncome,HI,single,5.0,5.0,0.9689610525210778,0.7599628749999999,0.09675,0.7777777777777778,0.3333333333333333,4000,AGEP,10
ACSIncome,HI,joint,5.0,5.0,0.9689610525210778,0.89386425,0.24875,0.9186708755973997,0.41029900332225916,4000,AGEP,10
ACSIncome,HI,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,HI,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,ID,single,0.1,0.1,48.44805262605389,0.490988,0.008,0.35986159169550175,0.0,4000,AGEP,10
ACSIncome,ID,joint,0.1,0.1,48.44805262605389,0.4979618125,0.00925,0.5210490174592739,0.010256410256410256,4000,AGEP,10
ACSIncome,ID,single,0.5,0.5,9.689610525210778,0.537984,0.01425,0.5625,0.0,4000,AGEP,10
ACSIncome,ID,joint,0.5,0.5,9.689610525210778,0.54570375,0.01175,0.5869885183014545,0.016423357664233577,4000,AGEP,10
ACSIncome,ID,single,1.0,1.0,4.844805262605389,0.5489120000000001,0.0185,0.796875,0.125,4000,AGEP,10
ACSIncome,ID,joint,1.0,1.0,4.844805262605389,0.588063875,0.0175,0.5793862219617454,0.016423357664233577,4000,AGEP,10
ACSIncome,ID,single,2.0,2.0,2.4224026313026945,0.6066949375,0.02725,0.6736,0.0,4000,AGEP,10
ACSIncome,ID,joint,2.0,2.0,2.4224026313026945,0.6753393124999999,0.04175,0.6778989624043251,0.0353356890459364,4000,AGEP,10
ACSIncome,ID,single,5.0,5.0,0.9689610525210778,0.75523775,0.0855,0.9171597633136095,0.7692307692307693,4000,AGEP,10
ACSIncome,ID,joint,5.0,5.0,0.9689610525210778,0.8682920625,0.17875,0.8984123909550045,0.30303030303030304,4000,AGEP,10
ACSIncome,ID,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,ID,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,IL,single,0.1,0.1,48.44805262605389,0.501472375,0.0105,0.51,0.1,4000,AGEP,10
ACSIncome,IL,joint,0.1,0.1,48.44805262605389,0.49879281249999996,0.012,0.5011082791447461,0.024752475247524754,4000,AGEP,10
ACSIncome,IL,single,0.5,0.5,9.689610525210778,0.5217668125,0.013,0.453125,0.125,4000,AGEP,10
ACSIncome,IL,joint,0.5,0.5,9.689610525210778,0.5303525625,0.0125,0.5410880116712959,0.01529051987767584,4000,AGEP,10
ACSIncome,IL,single,1.0,1.0,4.844805262605389,0.5618102500000001,0.01675,0.4826388888888889,0.041666666666666664,4000,AGEP,10
ACSIncome,IL,joint,1.0,1.0,4.844805262605389,0.5855600000000001,0.022,0.6130853277835588,0.03870967741935484,4000,AGEP,10
ACSIncome,IL,single,2.0,2.0,2.4224026313026945,0.611051125,0.023,0.7100694444444444,0.041666666666666664,4000,AGEP,10
ACSIncome,IL,joint,2.0,2.0,2.4224026313026945,0.6608266875,0.0285,0.6646900243865265,0.026234567901234566,4000,AGEP,10
ACSIncome,IL,single,5.0,5.0,0.9689610525210778,0.7595290000000001,0.08775,0.7199999999999999,0.3,4000,AGEP,10
ACSIncome,IL,joint,5.0,5.0,0.9689610525210778,0.8355715,0.09975,0.8700976029429215,0.13679245283018868,4000,AGEP,10
ACSIncome,IL,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,IL,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,IN,single,0.1,0.1,48.44805262605389,0.5051216875,0.01325,0.5706447187928669,0.07407407407407407,4000,AGEP,10
